drive_fitness,drop_ratio,drive_efficiency,low_density_growth_rate,density_growth_curve,weeks_to_suppression,type
1.0,1.0,0.0,11.0,linear,NAN,RIDL
1.0,1.0,0.0,12.0,linear,NAN,RIDL
1.0,1.0,0.0,13.0,linear,NAN,RIDL
1.0,1.0,0.0,14.0,linear,NAN,RIDL
1.0,1.0,0.0,15.0,linear,NAN,RIDL
1.0,1.0,0.0,16.0,linear,NAN,RIDL
1.0,1.0,0.0,2.0,linear,43.700,RIDL
1.0,1.0,0.0,3.0,linear,77.850,RIDL
1.0,1.0,0.0,4.0,linear,NAN,RIDL
1.0,1.0,0.0,5.0,linear,NAN,RIDL
1.0,1.0,0.0,6.0,linear,NAN,RIDL
1.0,1.0,0.0,7.0,linear,NAN,RIDL
1.0,1.0,0.0,8.0,linear,NAN,RIDL
1.0,1.0,0.0,9.0,linear,NAN,RIDL
1.0,11.0,0.0,10.0,linear,48.650,RIDL
1.0,11.0,0.0,11.0,linear,57.800,RIDL
1.0,11.0,0.0,12.0,linear,76.650,RIDL
1.0,11.0,0.0,13.0,linear,188.850,RIDL
1.0,11.0,0.0,14.0,linear,NAN,RIDL
1.0,11.0,0.0,15.0,linear,NAN,RIDL
1.0,11.0,0.0,16.0,linear,NAN,RIDL
1.0,11.0,0.0,2.0,linear,23.700,RIDL
1.0,11.0,0.0,3.0,linear,25.550,RIDL
1.0,11.0,0.0,4.0,linear,27.900,RIDL
1.0,11.0,0.0,5.0,linear,30.050,RIDL
1.0,11.0,0.0,6.0,linear,31.500,RIDL
1.0,11.0,0.0,7.0,linear,34.750,RIDL
1.0,11.0,0.0,8.0,linear,38.000,RIDL
1.0,11.0,0.0,9.0,linear,42.000,RIDL
1.0,12.0,0.0,10.0,linear,44.950,RIDL
1.0,12.0,0.0,11.0,linear,51.700,RIDL
1.0,12.0,0.0,12.0,linear,62.950,RIDL
1.0,12.0,0.0,13.0,linear,86.050,RIDL
1.0,12.0,0.0,14.0,linear,NAN,RIDL
1.0,12.0,0.0,15.0,linear,NAN,RIDL
1.0,12.0,0.0,16.0,linear,NAN,RIDL
1.0,12.0,0.0,2.0,linear,23.300,RIDL
1.0,12.0,0.0,3.0,linear,25.450,RIDL
1.0,12.0,0.0,4.0,linear,27.150,RIDL
1.0,12.0,0.0,5.0,linear,29.250,RIDL
1.0,12.0,0.0,6.0,linear,31.150,RIDL
1.0,12.0,0.0,7.0,linear,33.500,RIDL
1.0,12.0,0.0,8.0,linear,35.850,RIDL
1.0,12.0,0.0,9.0,linear,40.600,RIDL
1.0,13.0,0.0,10.0,linear,42.900,RIDL
1.0,13.0,0.0,11.0,linear,47.150,RIDL
1.0,13.0,0.0,12.0,linear,54.550,RIDL
1.0,13.0,0.0,13.0,linear,68.400,RIDL
1.0,13.0,0.0,14.0,linear,105.300,RIDL
1.0,13.0,0.0,15.0,linear,NAN,RIDL
1.0,13.0,0.0,16.0,linear,NAN,RIDL
1.0,13.0,0.0,2.0,linear,23.050,RIDL
1.0,13.0,0.0,3.0,linear,24.700,RIDL
1.0,13.0,0.0,4.0,linear,27.200,RIDL
1.0,13.0,0.0,5.0,linear,28.500,RIDL
1.0,13.0,0.0,6.0,linear,30.050,RIDL
1.0,13.0,0.0,7.0,linear,32.700,RIDL
1.0,13.0,0.0,8.0,linear,35.700,RIDL
1.0,13.0,0.0,9.0,linear,38.250,RIDL
1.0,14.0,0.0,10.0,linear,39.900,RIDL
1.0,14.0,0.0,11.0,linear,44.300,RIDL
1.0,14.0,0.0,12.0,linear,51.300,RIDL
1.0,14.0,0.0,13.0,linear,58.850,RIDL
1.0,14.0,0.0,14.0,linear,74.800,RIDL
1.0,14.0,0.0,15.0,linear,132.500,RIDL
1.0,14.0,0.0,16.0,linear,NAN,RIDL
1.0,14.0,0.0,2.0,linear,22.900,RIDL
1.0,14.0,0.0,3.0,linear,24.500,RIDL
1.0,14.0,0.0,4.0,linear,26.300,RIDL
1.0,14.0,0.0,5.0,linear,28.400,RIDL
1.0,14.0,0.0,6.0,linear,30.200,RIDL
