generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,rate_complete_r2,rate_partial_r2,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
287,32781,7725,0,0.714807,1.0,0.285193,0.0,0.5,0.525,6.0,linear
288,32956,7780,0,0.715474,1.0,0.284526,0.0,0.5,0.525,6.0,linear
289,32897,7819,0,0.71482,1.0,0.28518,0.0,0.5,0.525,6.0,linear
290,32745,7767,0,0.715135,1.0,0.284865,0.0,0.5,0.525,6.0,linear
291,32872,7875,0,0.714623,1.0,0.285377,0.0,0.5,0.525,6.0,linear
292,32838,7891,0,0.714429,1.0,0.285571,0.0,0.5,0.525,6.0,linear
293,32762,7930,0,0.714545,1.0,0.285455,0.0,0.5,0.525,6.0,linear
294,32775,7857,0,0.71584,1.0,0.28416,0.0,0.5,0.525,6.0,linear
295,33005,7771,0,0.715958,1.0,0.284042,0.0,0.5,0.525,6.0,linear
296,33068,7736,0,0.715856,1.0,0.284144,0.0,0.5,0.525,6.0,linear
297,32714,7694,0,0.71617,1.0,0.28383,0.0,0.5,0.525,6.0,linear
298,32603,7658,0,0.715908,1.0,0.284092,0.0,0.5,0.525,6.0,linear
299,32674,7839,0,0.714104,1.0,0.285896,0.0,0.5,0.525,6.0,linear
300,32687,7766,0,0.714871,1.0,0.285129,0.0,0.5,0.525,6.0,linear
301,32475,7811,0,0.715306,1.0,0.284694,0.0,0.5,0.525,6.0,linear
302,32561,7733,0,0.71447,1.0,0.28553,0.0,0.5,0.525,6.0,linear
303,32852,7772,0,0.713475,1.0,0.286525,0.0,0.5,0.525,6.0,linear
304,32761,7779,0,0.714861,1.0,0.285139,0.0,0.5,0.525,6.0,linear
305,32678,7762,0,0.714185,1.0,0.285815,0.0,0.5,0.525,6.0,linear
306,32664,7911,0,0.714338,1.0,0.285662,0.0,0.5,0.525,6.0,linear
307,32797,7835,0,0.713743,1.0,0.286257,0.0,0.5,0.525,6.0,linear
308,33061,7892,0,0.714977,1.0,0.285023,0.0,0.5,0.525,6.0,linear
309,33126,7826,0,0.714643,1.0,0.285357,0.0,0.5,0.525,6.0,linear
310,32841,7794,0,0.713629,1.0,0.286371,0.0,0.5,0.525,6.0,linear
311,32900,7866,0,0.714244,1.0,0.285756,0.0,0.5,0.525,6.0,linear
312,32612,7850,0,0.715684,1.0,0.284316,0.0,0.5,0.525,6.0,linear
313,32808,7948,0,0.714062,1.0,0.285938,0.0,0.5,0.525,6.0,linear
314,33103,7977,0,0.714624,1.0,0.285376,0.0,0.5,0.525,6.0,linear
315,32972,7951,0,0.715557,1.0,0.284443,0.0,0.5,0.525,6.0,linear
316,33143,7892,0,0.716613,1.0,0.283387,0.0,0.5,0.525,6.0,linear
317,33056,7946,0,0.715698,1.0,0.284302,0.0,0.5,0.525,6.0,linear

